2024-10-16 18:56:10 - INFO - Ingesta completada correctamente.
2024-10-17 17:25:04 - INFO - Realizando conexion a la api https://api.euskadi.eus/culture/events/
2024-10-17 17:25:04 - DEBUG - Starting new HTTPS connection (1): api.euskadi.eus:443
2024-10-17 17:25:04 - DEBUG - https://api.euskadi.eus:443 "GET /culture/events/v1.0/eventType HTTP/11" 200 None
2024-10-17 17:25:04 - INFO - Peticion a v1.0/eventType realizada correctamente.
2024-10-17 17:25:04 - INFO - ID de Cine y audiovisuales: 9
2024-10-17 17:25:04 - DEBUG - Starting new HTTPS connection (1): api.euskadi.eus:443
2024-10-17 17:25:05 - DEBUG - https://api.euskadi.eus:443 "GET /culture/events/v1.0/events/byType/9 HTTP/11" 200 None
2024-10-17 17:25:05 - INFO - Peticion a v1.0/events/byType/9 realizada correctamente.
2024-10-17 17:25:05 - DEBUG - Starting new HTTPS connection (1): api.euskadi.eus:443
2024-10-17 17:25:05 - DEBUG - https://api.euskadi.eus:443 "GET /culture/events/v1.0/events/byType/9?_page=2 HTTP/11" 200 None
2024-10-17 17:25:06 - DEBUG - Starting new HTTPS connection (1): api.euskadi.eus:443
2024-10-17 17:25:06 - DEBUG - https://api.euskadi.eus:443 "GET /culture/events/v1.0/events/byType/9?_page=3 HTTP/11" 200 None
2024-10-17 17:25:06 - DEBUG - Starting new HTTPS connection (1): api.euskadi.eus:443
2024-10-17 17:25:06 - DEBUG - https://api.euskadi.eus:443 "GET /culture/events/v1.0/events/byType/9?_page=4 HTTP/11" 200 None
2024-10-17 17:25:06 - DEBUG - Starting new HTTPS connection (1): api.euskadi.eus:443
2024-10-17 17:25:06 - DEBUG - https://api.euskadi.eus:443 "GET /culture/events/v1.0/events/byType/9?_page=5 HTTP/11" 200 None
2024-10-17 17:25:07 - DEBUG - Starting new HTTPS connection (1): api.euskadi.eus:443
2024-10-17 17:25:07 - DEBUG - https://api.euskadi.eus:443 "GET /culture/events/v1.0/events/byType/9?_page=6 HTTP/11" 200 None
2024-10-17 17:25:07 - DEBUG - Starting new HTTPS connection (1): api.euskadi.eus:443
2024-10-17 17:25:07 - DEBUG - https://api.euskadi.eus:443 "GET /culture/events/v1.0/events/byType/9?_page=7 HTTP/11" 200 None
2024-10-17 17:25:07 - DEBUG - Starting new HTTPS connection (1): api.euskadi.eus:443
2024-10-17 17:25:07 - DEBUG - https://api.euskadi.eus:443 "GET /culture/events/v1.0/events/byType/9?_page=8 HTTP/11" 200 None
2024-10-17 17:25:07 - DEBUG - Starting new HTTPS connection (1): api.euskadi.eus:443
